distance,slope,intercept,r2_value,p_value,intercept_stderr
0.015,-1.2784650350451272,13.941157342471989,0.03171997964147981,0.5093028643374116,1.8878125654319649
0.02,-2.233987086991906,14.488926222211822,0.16217829330107802,0.13668060771201185,1.4082780928569603
0.025,-3.0318565316577537,14.953320675603564,0.4594496772029925,0.007722576188560134,0.9493297995362445
0.03,-3.590688797534247,15.283197728582312,0.7425954554377153,0.00015254999345322987,0.6374019470468875
0.035,-3.9569480554362975,15.50220459695033,0.8768626861752368,7.355617974169983e-06,0.4689098892613453
0.04,-4.222862782426812,15.663068752919536,0.9351010008548984,1.2014774761357617e-06,0.37083050597045875
0.052000000000000005,-4.4989443075896585,15.831808741545174,0.9819874244413126,2.8994435182588177e-08,0.21542721563787415
0.065,-4.634453038727276,15.916446817982976,0.9899785556890094,2.9436615094364262e-08,0.17623888269871782
0.09,-4.664678897729285,15.935716551261583,0.9891132305945991,4.0488168420603397e-07,0.19978948846234687
0.115,-4.698746124248455,15.958188099765009,0.9877608856896835,5.6514728964246066e-06,0.23390853104067588
0.165,-4.646525207606673,15.922732526245081,0.9850356605601004,8.439673026898815e-05,0.28635258019394466
0.215,-4.720024203906346,15.975085662663401,0.981447481557105,0.0010785190696955577,0.37467222709893216
0.315,-5.021625037519811,16.19827027953737,0.9821777670816004,0.008951178255278691,0.4783164214500277
0.515,-5.77621733668341,16.788109926716913,0.9941919130035279,0.04856439478952878,0.4414941659283434
0.715,-6.540907663316567,17.436822220477374,1.0,0.0,0.0
0.915,,,0.0,,
